ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_198700	1.03	0.05	1.04	0.06	1.22	0.29	1.36	0.44	Homo sapiens CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 2, mRNA.	ILMN_10496	CUGBP1	
NM_001014839	NaN	NaN	0.48	-1.07	0.78	-0.36	NaN	NaN	Homo sapiens neurochondrin (NCDN), transcript variant 1, mRNA.	ILMN_10498	NCDN	
AI205489	1.42	0.5	1.3	0.38	1.13	0.18	1.15	0.2	qr26b06.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:1941971 3, mRNA sequence	ILMN_104981		
AI375192	1.39	0.47	1.2	0.26	0.88	-0.18	0.94	-0.1	tc10d09.x1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:2063441 3, mRNA sequence	ILMN_104988		
NM_005335	1.91	0.94	1.68	0.75	1.25	0.33	1.18	0.24	Homo sapiens hematopoietic cell-specific Lyn substrate 1 (HCLS1), mRNA.	ILMN_10504	HCLS1	
NM_052946	0.18	-2.49	0.12	-3.01	0.71	-0.49	0.65	-0.62	Homo sapiens nitric oxide synthase trafficker (NOSTRIN), mRNA.	ILMN_10508	NOSTRIN	
NM_004298	0.93	-0.11	0.94	-0.08	1.12	0.16	1.14	0.19	Homo sapiens nucleoporin 155kDa (NUP155), transcript variant 2, mRNA.	ILMN_1051	NUP155	
NM_006534	0.89	-0.17	0.84	-0.24	0.96	-0.06	0.91	-0.14	Homo sapiens nuclear receptor coactivator 3 (NCOA3), transcript variant 2, mRNA.	ILMN_10519	NCOA3	
NM_003275	NaN	NaN	NaN	NaN	3.2	1.68	0.98	-0.02	Homo sapiens tropomodulin 1 (TMOD1), mRNA.	ILMN_1052	TMOD1	
NM_003152	2.24	1.16	1.81	0.86	2.1	1.07	2.31	1.21	Homo sapiens signal transducer and activator of transcription 5A (STAT5A), mRNA.	ILMN_10520	STAT5A	
DA811815	1.58	0.66	1.25	0.33	1.19	0.25	1.15	0.2	DA811815 OVARC1 Homo sapiens cDNA clone OVARC1000122 5, mRNA sequence	ILMN_105215		
AW770193	1.62	0.7	1.57	0.65	1.08	0.11	1.06	0.08	hk59f09.x1 NCI_CGAP_Lym12 Homo sapiens cDNA clone IMAGE:3001001 3, mRNA sequence	ILMN_105227		
NM_017410	1.67	0.74	1.51	0.6	1.01	0.01	1.11	0.15	Homo sapiens homeobox C13 (HOXC13), mRNA.	ILMN_10524	HOXC13	
NM_005791	1.24	0.32	1.12	0.16	0.98	-0.02	1.03	0.04	Homo sapiens M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) (MPHOSPH10), mRNA.	ILMN_10528	MPHOSPH10	
NM_012091	0.77	-0.38	0.79	-0.34	0.77	-0.37	0.74	-0.43	Homo sapiens adenosine deaminase, tRNA-specific 1 (ADAT1), mRNA.	ILMN_1053	ADAT1	
NM_007062	1.34	0.42	1.13	0.17	1.14	0.19	1.11	0.15	Homo sapiens PWP1 homolog (S. cerevisiae) (PWP1), mRNA.	ILMN_10530	PWP1	
NM_012254	0.38	-1.39	0.82	-0.28	0.41	-1.28	0.32	-1.65	Homo sapiens solute carrier family 27 (fatty acid transporter), member 5 (SLC27A5), mRNA.	ILMN_10532	SLC27A5	
BX104577	1.31	0.38	1.31	0.39	0.88	-0.18	0.88	-0.18	BX104577 Soares ovary tumor NbHOT Homo sapiens cDNA clone IMAGp998B161998, mRNA sequence	ILMN_105347		
NM_020353	0.46	-1.13	0.57	-0.82	0.26	-1.93	0.1	-3.31	Homo sapiens phospholipid scramblase 4 (PLSCR4), mRNA.	ILMN_10535	PLSCR4	
NM_014374	NaN	NaN	NaN	NaN	0.91	-0.14	0.94	-0.09	Homo sapiens replication initiator 1 (REPIN1), transcript variant 2, mRNA.	ILMN_1054	REPIN1	
NM_022068	NaN	NaN	NaN	NaN	NaN	NaN	0.63	-0.67	Homo sapiens family with sequence similarity 38, member B (FAM38B), mRNA.	ILMN_10543	FAM38B	
CA442514	1.77	0.83	1.38	0.46	1.05	0.07	0.91	-0.13	UI-H-DP0-ave-p-05-0-UI.s1 NCI_CGAP_Fs1 Homo sapiens cDNA clone UI-H-DP0-ave-p-05-0-UI 3, mRNA sequence	ILMN_105445		
NM_020423	0.89	-0.16	1.13	0.18	0.95	-0.07	1.11	0.16	Homo sapiens SCY1-like 3 (S. cerevisiae) (SCYL3), transcript variant 1, mRNA.	ILMN_10545	SCYL3	
NM_014571	0.55	-0.87	0.71	-0.5	1.58	0.66	1.75	0.81	Homo sapiens hairy/enhancer-of-split related with YRPW motif-like (HEYL), mRNA.	ILMN_10547	HEYL	
NM_013338	0.71	-0.5	0.72	-0.47	0.39	-1.35	0.44	-1.18	Homo sapiens asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase) (ALG5), mRNA.	ILMN_10548	ALG5	
AW182546	1.52	0.6	1.34	0.42	0.95	-0.07	0.99	-0.01	xj81h02.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2663667 3 similar to contains Alu repetitive element	ILMN_105494		
NM_018674	1.55	0.63	1.33	0.41	1.08	0.11	1.07	0.09	Homo sapiens amiloride-sensitive cation channel 4, pituitary (ACCN4), transcript variant 1, mRNA.	ILMN_10550	ACCN4	
NM_018593	3.48	1.8	2.88	1.53	2.87	1.52	3.94	1.98	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 10 (SLC16A10), mRNA.	ILMN_10556	SLC16A10	
NM_018056	0.31	-1.68	0.47	-1.08	0.67	-0.59	0.52	-0.95	Homo sapiens transmembrane protein 39B (TMEM39B), mRNA.	ILMN_1056	TMEM39B	
NM_144653	1.64	0.71	1.25	0.32	2.47	1.31	2.19	1.13	Homo sapiens BTB (POZ) domain containing 14A (BTBD14A), mRNA.	ILMN_10561	BTBD14A	
CB050664	1.57	0.65	1.25	0.32	1.12	0.16	1.11	0.15	NISC_gj18h12.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:3272303 3, mRNA sequence	ILMN_105622		
NM_006350	0.17	-2.56	0.09	-3.52	0.82	-0.29	0.67	-0.58	Homo sapiens follistatin (FST), transcript variant FST317, mRNA.	ILMN_10565	FST	
NM_021645	0.78	-0.35	0.69	-0.55	0.77	-0.37	0.77	-0.37	Homo sapiens UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast) (UTP14C), mRNA.	ILMN_10573	UTP14C	
NM_001003892	1.15	0.2	1.52	0.6	4.13	2.04	4.83	2.27	Homo sapiens dual specificity phosphatase and pro isomerase domain containing 1 (DUPD1), mRNA.	ILMN_10577	DUPD1	
BE440025	1.61	0.69	1.28	0.36	1.09	0.12	1.12	0.16	HTM1-793F HTM1 Homo sapiens cDNA, mRNA sequence	ILMN_105782		
AW237874	1.71	0.78	1.21	0.27	1.08	0.12	1.17	0.22	xo92h01.x1 NCI_CGAP_HN8 Homo sapiens cDNA clone IMAGE:2738353 3, mRNA sequence	ILMN_105905		
AA834787	1.46	0.55	NaN	NaN	NaN	NaN	NaN	NaN	oe01f05.s1 NCI_CGAP_Ov2 Homo sapiens cDNA clone IMAGE:1384641, mRNA sequence	ILMN_105934		
NM_138412	0.69	-0.53	0.84	-0.25	2.14	1.1	2.42	1.27	Homo sapiens retinol dehydrogenase 13 (all-trans and 9-cis) (RDH13), mRNA.	ILMN_10594	RDH13	
BM977008	NaN	NaN	NaN	NaN	0.92	-0.12	1.03	0.04	UI-CF-EN1-acz-c-09-0-UI.s1 UI-CF-EN1 Homo sapiens cDNA clone UI-CF-EN1-acz-c-09-0-UI 3, mRNA sequence	ILMN_105956		
NM_022090	NaN	NaN	0.45	-1.14	0.79	-0.33	0.83	-0.27	Homo sapiens transposon-derived Buster3 transposase-like (LOC63920), mRNA.	ILMN_10601	LOC63920	
AW193623	1.54	0.63	1.21	0.28	1.21	0.28	1.15	0.2	xm18d10.x1 NCI_CGAP_Ut4 Homo sapiens cDNA clone IMAGE:2684563 3, mRNA sequence	ILMN_106022		
NM_170726	0.34	-1.56	0.67	-0.58	0.84	-0.25	0.81	-0.31	Homo sapiens aldehyde dehydrogenase 4 family, member A1 (ALDH4A1), nuclear gene encoding mitochondrial protein, transcript variant P5CDhS, mRNA.	ILMN_10603	ALDH4A1	
NM_018689	9.75	3.28	9.13	3.19	6.25	2.64	5.3	2.41	Homo sapiens KIAA1199 (KIAA1199), mRNA.	ILMN_10606	KIAA1199	
AI873512	1.42	0.5	1.34	0.42	1.03	0.04	1.01	0.01	wf84b12.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2362271 3, mRNA sequence	ILMN_106062		
NM_000291	1.06	0.09	0.93	-0.11	1.24	0.32	1.36	0.45	Homo sapiens phosphoglycerate kinase 1 (PGK1), mRNA.	ILMN_10607	PGK1	
NM_021073	NaN	NaN	0.66	-0.59	1.46	0.54	0.65	-0.62	Homo sapiens bone morphogenetic protein 5 (BMP5), mRNA.	ILMN_10608	BMP5	
NM_025232	NaN	NaN	NaN	NaN	0.77	-0.38	0.69	-0.53	Homo sapiens receptor accessory protein 4 (REEP4), mRNA.	ILMN_1061	REEP4	
BP431822	1.14	0.19	1.16	0.21	0.91	-0.14	0.95	-0.07	BP431822 leukemia cell normalized cDNA library Homo sapiens cDNA clone LEU1479_23_D11, mRNA sequence	ILMN_106213		
AW079487	1.53	0.61	1.36	0.44	1.08	0.11	1.15	0.2	xc16h12.x1 NCI_CGAP_Co19 Homo sapiens cDNA clone IMAGE:2584487 3, mRNA sequence	ILMN_106215		
BM986872	2.18	1.13	1.94	0.96	1.04	0.06	1.11	0.15	UI-H-CO0-aqj-a-11-0-UI.s1 NCI_CGAP_Sub9 Homo sapiens cDNA clone IMAGE: 3104132 3, mRNA sequence	ILMN_106234		
NM_014502	1.31	0.39	1.43	0.52	0.99	-0.01	0.95	-0.08	Homo sapiens PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) (PRPF19), mRNA.	ILMN_10626	PRPF19	
NM_000679	NaN	NaN	NaN	NaN	1.1	0.13	NaN	NaN	Homo sapiens adrenergic, alpha-1B-, receptor (ADRA1B), mRNA.	ILMN_10629	ADRA1B	
AW085986	1.36	0.44	1.22	0.29	1.11	0.15	1.06	0.09	xc76e10.x1 NCI_CGAP_Ov32 Homo sapiens cDNA clone IMAGE:2590218 3, mRNA sequence	ILMN_106290		
T10220	1.76	0.81	1.21	0.27	1.21	0.28	1.23	0.3	seq920 b4HB3MA Cot8-HAP-Ft Homo sapiens cDNA clone b4HB3MA-COT8-HAP-Ft196 3, mRNA sequence	ILMN_106328		
NM_003153	0.92	-0.13	0.68	-0.55	1.07	0.09	1.12	0.16	Homo sapiens signal transducer and activator of transcription 6, interleukin-4 induced (STAT6), mRNA.	ILMN_10634	STAT6	
NM_005713	0.88	-0.18	0.76	-0.4	1.02	0.03	1.07	0.1	Homo sapiens collagen, type IV, alpha 3 (Goodpasture antigen) binding protein (COL4A3BP), transcript variant 1, mRNA.	ILMN_10635	COL4A3BP	
AW516786	1.58	0.66	1.25	0.32	1.08	0.1	1.08	0.11	xq04b10.x1 Soares_NHCeC_cervical_tumor Homo sapiens cDNA clone IMAGE:2748859 3, mRNA sequence	ILMN_106355		
XM_372521	1.05	0.07	0.95	-0.08	0.96	-0.06	0.94	-0.09	PREDICTED: Homo sapiens similar to SMT3 suppressor of mif two 3 homolog 2 (LOC390466), mRNA.	ILMN_1064	LOC390466	
NM_001007189	NaN	NaN	NaN	NaN	0.84	-0.25	1	0	Homo sapiens similar to bovine IgA regulatory protein (LOC492311), mRNA.	ILMN_10640	LOC492311	
AW628732	1.48	0.56	1.43	0.52	1.06	0.08	1.1	0.14	hi43c03.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2975044 3, mRNA sequence	ILMN_106494		
NM_031901	NaN	NaN	NaN	NaN	NaN	NaN	1.01	0.01	Homo sapiens mitochondrial ribosomal protein S21 (MRPS21), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	ILMN_10651	MRPS21	
CA392006	1.5	0.59	1.33	0.41	1.1	0.14	1.06	0.08	cs21a12.x1 Human Retinal pigment epithelium/choroid cDNA (Un-normalized, unamplified): cs Homo sapiens cDNA clone cs21a12 3, mRNA sequence	ILMN_106552		
AA178983	1.46	0.55	1.3	0.38	0.98	-0.03	1.18	0.23	zp12g05.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone IMAGE:609272 3, mRNA sequence	ILMN_106653		
AW183894	0.85	-0.23	1.07	0.09	0.76	-0.39	1.11	0.14	xj89b12.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2664383 3, mRNA sequence	ILMN_106679		
AW769501	1.68	0.75	1.51	0.6	0.99	-0.02	0.92	-0.12	hl74a09.x1 NCI_CGAP_Kid13 Homo sapiens cDNA clone IMAGE:3006904 3, mRNA sequence	ILMN_106684		
NM_005077	0.25	-2	0.31	-1.7	0.42	-1.24	0.2	-2.31	Homo sapiens transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila) (TLE1), mRNA.	ILMN_10669	TLE1	
NM_005198	NaN	NaN	0.8	-0.32	1.05	0.07	1.15	0.2	Homo sapiens choline kinase beta (CHKB), transcript variant 1, mRNA.	ILMN_1067	CHKB	
AW572919	1.39	0.47	1.43	0.51	0.97	-0.04	0.88	-0.19	hf17e07.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2932164 3, mRNA sequence	ILMN_106715		
AW081577	1.47	0.55	1.32	0.4	1.05	0.07	1	0	xc23f04.x1 NCI_CGAP_Co19 Homo sapiens cDNA clone IMAGE:2585119 3, mRNA sequence	ILMN_106734		
NM_002151	0.48	-1.05	0.64	-0.64	0.57	-0.8	0.56	-0.83	Homo sapiens hepsin (transmembrane protease, serine 1) (HPN), transcript variant 2, mRNA.	ILMN_10677	HPN	
NM_018091	1.06	0.08	1.13	0.18	1.32	0.4	1.19	0.25	Homo sapiens elongation protein 3 homolog (S. cerevisiae) (ELP3), mRNA.	ILMN_1068	ELP3	
NM_031445	1.49	0.57	1.22	0.28	1.22	0.29	1.34	0.42	Homo sapiens hypothetical protein MGC4268 (MGC4268), mRNA.	ILMN_10683	MGC4268	
NM_014037	NaN	NaN	NaN	NaN	0.48	-1.05	NaN	NaN	Homo sapiens solute carrier family 6, member 16 (SLC6A16), mRNA.	ILMN_10688	SLC6A16	
NM_001017969	1.78	0.83	1.36	0.45	0.72	-0.48	0.78	-0.36	Homo sapiens KIAA2026 (KIAA2026), mRNA.	ILMN_10689	KIAA2026	
NM_001018053	1.01	0.01	0.9	-0.14	1.35	0.44	2.04	1.03	Homo sapiens 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2), transcript variant 2, mRNA.	ILMN_10692	PFKFB2	
NM_138801	0.31	-1.68	0.78	-0.36	NaN	NaN	0.79	-0.33	Homo sapiens galactose mutarotase (aldose 1-epimerase) (GALM), mRNA.	ILMN_10698	GALM	
NM_031482	0.99	-0.02	1.08	0.11	0.92	-0.12	1.16	0.21	Homo sapiens ATG10 autophagy related 10 homolog (S. cerevisiae) (ATG10), mRNA.	ILMN_1070	ATG10	
NM_004504	1.01	0.01	1.01	0.01	1.03	0.05	1.03	0.04	Homo sapiens HIV-1 Rev binding protein (HRB), mRNA.	ILMN_10703	HRB	
NM_014801	NaN	NaN	NaN	NaN	1.2	0.27	NaN	NaN	Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 1, mRNA.	ILMN_10704	PCNXL2	
NM_006014	0.49	-1.04	0.51	-0.96	0.81	-0.31	0.84	-0.25	Homo sapiens DNA segment on chromosome X (unique) 9879 expressed sequence (DXS9879E), mRNA.	ILMN_1071	DXS9879E	
NM_017415	NaN	NaN	NaN	NaN	2.11	1.08	2.49	1.32	Homo sapiens kelch-like 3 (Drosophila) (KLHL3), mRNA.	ILMN_10714	KLHL3	
NM_018467	0.96	-0.06	0.73	-0.46	0.61	-0.7	0.61	-0.72	Homo sapiens uncharacterized hematopoietic stem/progenitor cells protein MDS032 (MDS032), mRNA.	ILMN_10716	MDS032	
NM_007215	NaN	NaN	NaN	NaN	1.09	0.12	1.02	0.03	Homo sapiens polymerase (DNA directed), gamma 2, accessory subunit (POLG2), mRNA.	ILMN_10717	POLG2	
NM_001416	1.52	0.6	1.35	0.43	1.11	0.16	1.14	0.19	Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA.	ILMN_10718	EIF4A1	
AW206504	NaN	NaN	NaN	NaN	1.04	0.06	NaN	NaN	UI-H-BI1-aez-d-03-0-UI.s1 NCI_CGAP_Sub3 Homo sapiens cDNA clone IMAGE:2721053 3, mRNA sequence	ILMN_107186		
NM_000687	0.6	-0.74	0.7	-0.52	1	0	1.07	0.09	Homo sapiens S-adenosylhomocysteine hydrolase (AHCY), mRNA.	ILMN_10724	AHCY	
NM_001440	0.81	-0.31	0.51	-0.97	0.89	-0.17	0.93	-0.1	Homo sapiens exostoses (multiple)-like 3 (EXTL3), mRNA.	ILMN_10725	EXTL3	
N21665	1.33	0.41	1.22	0.28	0.88	-0.19	0.9	-0.15	yx63d04.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:266407 3, mRNA sequence	ILMN_107343		
AI827529	1.3	0.38	1.27	0.35	1.04	0.05	0.97	-0.05	wf10a02.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2350154 3, mRNA sequence	ILMN_107359		
BQ028404	1.41	0.49	0.84	-0.25	NaN	NaN	NaN	NaN	UI-H-CO0-aqy-h-07-0-UI.s1 NCI_CGAP_Sub9 Homo sapiens cDNA clone IMAGE:3105995 3, mRNA sequence	ILMN_107360		
NM_005622	0.29	-1.79	0.8	-0.32	0.4	-1.32	0.5	-1.01	Homo sapiens acyl-CoA synthetase medium-chain family member 3 (ACSM3), transcript variant 1, mRNA.	ILMN_10738	ACSM3	
NM_006092	NaN	NaN	NaN	NaN	1.35	0.44	1.78	0.83	Homo sapiens caspase recruitment domain family, member 4 (CARD4), mRNA.	ILMN_10741	CARD4	
NM_000543	0.64	-0.65	0.87	-0.2	0.76	-0.4	0.93	-0.1	Homo sapiens sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase) (SMPD1), transcript variant 1, mRNA.	ILMN_10742	SMPD1	
NM_005147	0.95	-0.07	0.95	-0.07	1.21	0.27	1.35	0.43	Homo sapiens DnaJ (Hsp40) homolog, subfamily A, member 3 (DNAJA3), mRNA.	ILMN_10747	DNAJA3	
NM_052837	1.61	0.69	1.53	0.61	0.92	-0.12	0.97	-0.04	Homo sapiens secretory carrier membrane protein 3 (SCAMP3), transcript variant 2, mRNA.	ILMN_10752	SCAMP3	
NM_001823	0.39	-1.37	0.91	-0.14	2.04	1.03	1.63	0.7	Homo sapiens creatine kinase, brain (CKB), mRNA.	ILMN_10755	CKB	
AW241713	1.56	0.64	1.41	0.49	1.02	0.03	1.05	0.06	xn74b05.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2700177 3, mRNA sequence	ILMN_107596		
NM_000895	2.03	1.02	1.46	0.55	1.05	0.06	1.59	0.67	Homo sapiens leukotriene A4 hydrolase (LTA4H), mRNA.	ILMN_10760	LTA4H	
AV712934	1.53	0.62	1.31	0.39	0.97	-0.04	0.94	-0.09	AV712934 DCA Homo sapiens cDNA clone DCABAE05 5, mRNA sequence	ILMN_107614		
NM_032448	0.9	-0.15	0.92	-0.11	1.11	0.15	0.94	-0.09	Homo sapiens KIAA1838 (KIAA1838), mRNA.	ILMN_10767	KIAA1838	
BM280411	1.5	0.59	1.3	0.38	1.08	0.11	1.12	0.16	3EST-NCD15-159 human CD15+ myeloid progenitor cells cDNA Library Homo sapiens cDNA 3', mRNA sequence	ILMN_107678		
NM_022156	0.84	-0.25	0.83	-0.27	0.68	-0.56	0.81	-0.31	Homo sapiens dihydrouridine synthase 1-like (S. cerevisiae) (DUS1L), mRNA.	ILMN_1077	DUS1L	
NM_025241	0.58	-0.8	0.57	-0.82	1.07	0.1	0.94	-0.09	Homo sapiens UBX domain containing 1 (UBXD1), mRNA.	ILMN_10771	UBXD1	
NM_000992	2.02	1.01	1.28	0.35	1.01	0.02	1.09	0.12	Homo sapiens ribosomal protein L29 (RPL29), mRNA.	ILMN_10772	RPL29	
NM_052853	0.26	-1.94	0.43	-1.23	1.08	0.12	1.33	0.41	Homo sapiens aarF domain containing kinase 2 (ADCK2), mRNA.	ILMN_10783	ADCK2	
BE646244	1.93	0.95	1.52	0.61	1.14	0.19	1.16	0.22	7e83f02.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:3289083 3, mRNA sequence	ILMN_107859		
NM_031206	1.34	0.43	1.23	0.29	0.91	-0.13	0.9	-0.15	Homo sapiens LAS1-like (S. cerevisiae) (LAS1L), mRNA.	ILMN_10798	LAS1L	
AW589737	1.49	0.57	1.18	0.24	0.96	-0.05	0.98	-0.03	hg20e08.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2946182 3, mRNA sequence	ILMN_107993		
AI245324	1.44	0.52	1.21	0.27	1	0	1.04	0.06	qk23d12.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1869815 3, mRNA sequence	ILMN_108004		
AW276479	0.76	-0.39	0.88	-0.18	0.76	-0.39	1.07	0.1	xr14b10.x1 NCI_CGAP_Lu28 Homo sapiens cDNA clone IMAGE:2760091 3, mRNA sequence	ILMN_108014		
NM_015327	1.05	0.07	1.14	0.19	1.07	0.1	0.99	-0.01	Homo sapiens Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) (SMG5), mRNA.	ILMN_10815	SMG5	
NM_004275	0.93	-0.11	1.06	0.09	0.83	-0.27	0.82	-0.28	Homo sapiens Trf (TATA binding protein-related factor)-proximal homolog (Drosophila) (TRFP), mRNA.	ILMN_10817	TRFP	
BM151532	1.98	0.99	1.3	0.38	1.01	0.01	1.11	0.15	TCBAP1D9648 Pediatric pre-B cell acute lymphoblastic leukemia Baylor-HGSC project=TCBA Homo sapiens cDNA clone TCBAP9648, mRNA sequence	ILMN_108261		
NM_203481	NaN	NaN	0.65	-0.63	NaN	NaN	NaN	NaN	Homo sapiens hypothetical LOC403340 (MGC70870), mRNA.	ILMN_10828	MGC70870	
AI419812	1.92	0.94	1.46	0.54	1.06	0.08	1.09	0.12	tg52a04.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2112366 3 similar to contains PTR5.t3 PTR5 repetitive element 	ILMN_108331		
NM_001002814	1.6	0.68	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens RAB11 family interacting protein 1 (class I) (RAB11FIP1), transcript variant 3, mRNA.	ILMN_10834	RAB11FIP1	
AW474274	1.75	0.8	1.53	0.62	0.95	-0.08	1.04	0.06	xs23f01.x1 NCI_CGAP_Ut2 Homo sapiens cDNA clone IMAGE:2770489 3, mRNA sequence	ILMN_108384		
R07429	1.7	0.77	1.14	0.18	NaN	NaN	1.02	0.03	ye96b09.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:125561 3, mRNA sequence	ILMN_108408		
NM_001639	0.39	-1.35	0.69	-0.54	0.49	-1.04	0.37	-1.45	Homo sapiens amyloid P component, serum (APCS), mRNA.	ILMN_10843	APCS	
NM_016735	NaN	NaN	NaN	NaN	1.88	0.91	1.06	0.09	Homo sapiens LIM domain kinase 1 (LIMK1), transcript variant dLIMK, mRNA.	ILMN_10849	LIMK1	
NM_016006	0.73	-0.45	1.15	0.21	0.82	-0.29	0.65	-0.62	Homo sapiens abhydrolase domain containing 5 (ABHD5), mRNA.	ILMN_10853	ABHD5	
NR_002436	2.11	1.08	2.05	1.04	0.55	-0.86	0.51	-0.97	Homo sapiens ACA33 small nucleolar RNA (ACA33) on chromosome 6.	ILMN_10854	ACA33	
NM_001001787	0.94	-0.09	0.96	-0.06	1.85	0.88	2.74	1.45	Homo sapiens ATPase, Na+/K+ transporting, beta 1 polypeptide (ATP1B1), transcript variant 2, mRNA.	ILMN_10855	ATP1B1	
AI761975	1.53	0.62	1.25	0.33	0.96	-0.06	1.03	0.05	wh50e07.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2384196 3, mRNA sequence	ILMN_108558		
NM_001017915	1.81	0.85	1.31	0.39	0.88	-0.18	0.99	-0.02	Homo sapiens inositol polyphosphate-5-phosphatase, 145kDa (INPP5D), transcript variant 1, mRNA.	ILMN_10862	INPP5D	
NM_002444	2.57	1.36	2.2	1.14	2.36	1.24	2.89	1.53	Homo sapiens moesin (MSN), mRNA.	ILMN_10863	MSN	
NM_000057	1.35	0.43	1.07	0.09	1.05	0.08	0.97	-0.04	Homo sapiens Bloom syndrome (BLM), mRNA.	ILMN_10872	BLM	
AA626011	NaN	NaN	1.47	0.56	NaN	NaN	NaN	NaN	zu87f09.s1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:745001 3, mRNA sequence	ILMN_108736		
AW292705	1.65	0.72	1.46	0.55	1.12	0.16	1.07	0.1	UI-H-BI2-agm-d-07-0-UI.s1 NCI_CGAP_Sub4 Homo sapiens cDNA clone IMAGE:2724900 3, mRNA sequence	ILMN_108753		
BQ012728	1.44	0.52	1.24	0.31	1.02	0.03	1.12	0.16	UI-1-BC1p-auz-b-08-0-UI.s1 NCI_CGAP_Pl3 Homo sapiens cDNA clone UI-1-BC1p-auz-b-08-0-UI 3, mRNA sequence	ILMN_108755		
BM984149	1.39	0.47	1.37	0.45	1.1	0.14	1	0	UI-CF-DU1-abf-c-01-0-UI.s1 UI-CF-DU1 Homo sapiens cDNA clone UI-CF-DU1-abf-c-01-0-UI 3, mRNA sequence	ILMN_108805		
AW945561	1.98	0.99	1.55	0.63	0.96	-0.05	0.98	-0.03	RC0-EN0024-120500-031-b04 EN0024 Homo sapiens cDNA, mRNA sequence	ILMN_108811		
AW444641	1.57	0.65	1.38	0.47	1.11	0.15	1.09	0.13	UI-H-BI3-ajw-c-08-0-UI.s1 NCI_CGAP_Sub5 Homo sapiens cDNA clone IMAGE:2733302 3, mRNA sequence	ILMN_108823		
NM_006009	1.21	0.28	0.94	-0.09	1.49	0.57	1.35	0.44	Homo sapiens tubulin, alpha 3 (TUBA3), mRNA.	ILMN_1089	TUBA3	
NM_014614	0.9	-0.15	0.86	-0.23	1.08	0.1	1.02	0.03	Homo sapiens proteasome (prosome, macropain) activator subunit 4 (PSME4), mRNA.	ILMN_10890	PSME4	
NM_017916	0.88	-0.18	0.86	-0.22	0.81	-0.3	0.66	-0.59	Homo sapiens hypothetical protein FLJ20643 (FLJ20643), mRNA.	ILMN_10897	FLJ20643	
AB074045	1.6	0.68	1.36	0.45	1.16	0.22	1.07	0.1	AB074045 Human vestibular cDNA library Homo sapiens cDNA clone 159V5-2464, mRNA sequence	ILMN_108970		
AW237078	1.37	0.45	1.32	0.4	1.18	0.24	1.23	0.3	xm52h06.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2687867 3, mRNA sequence	ILMN_109051		
BC037538	1.59	0.67	1.4	0.49	0.95	-0.08	0.98	-0.03	Homo sapiens cDNA clone IMAGE:5288253	ILMN_109074		
NM_031307	1.42	0.51	1.61	0.68	0.88	-0.19	0.73	-0.46	Homo sapiens pseudouridylate synthase 3 (PUS3), mRNA.	ILMN_10909	PUS3	
